0000000000021230 <__intel_sse2_strtok>:
   21230:	f3 0f 1e fa          	repz nop %edx
   21234:	48 81 ec a8 00 00 00 	sub    $0xa8,%rsp
   2123b:	48 89 cf             	mov    %rcx,%rdi
   2123e:	44 0f 11 7c 24 70    	movups %xmm15,0x70(%rsp)
   21244:	48 89 d6             	mov    %rdx,%rsi
   21247:	44 0f 11 b4 24 80 00 	movups %xmm14,0x80(%rsp)
   2124e:	00 00 
   21250:	44 0f 11 6c 24 10    	movups %xmm13,0x10(%rsp)
   21256:	44 0f 11 24 24       	movups %xmm12,(%rsp)
   2125b:	44 0f 11 5c 24 20    	movups %xmm11,0x20(%rsp)
   21261:	44 0f 11 54 24 30    	movups %xmm10,0x30(%rsp)
   21267:	44 0f 11 4c 24 40    	movups %xmm9,0x40(%rsp)
   2126d:	44 0f 11 44 24 50    	movups %xmm8,0x50(%rsp)
   21273:	0f 11 7c 24 60       	movups %xmm7,0x60(%rsp)
   21278:	0f 11 b4 24 90 00 00 	movups %xmm6,0x90(%rsp)
   2127f:	00 
   21280:	48 85 ff             	test   %rdi,%rdi
   21283:	0f 84 fe 05 00 00    	je     21887 <__intel_sse2_strtok+0x657>
   21289:	80 3f 00             	cmpb   $0x0,(%rdi)
   2128c:	75 11                	jne    2129f <__intel_sse2_strtok+0x6f>
   2128e:	33 c0                	xor    %eax,%eax
   21290:	48 89 3d 19 7d 22 00 	mov    %rdi,0x227d19(%rip)        # 248fb0 <g_last_token>
   21297:	48 81 c4 a8 00 00 00 	add    $0xa8,%rsp
   2129e:	c3                   	retq   
   2129f:	89 f1                	mov    %esi,%ecx
   212a1:	49 89 f0             	mov    %rsi,%r8
   212a4:	83 e1 0f             	and    $0xf,%ecx
   212a7:	45 33 d2             	xor    %r10d,%r10d
   212aa:	4c 2b c1             	sub    %rcx,%r8
   212ad:	f3 41 0f 6f 00       	movdqu (%r8),%xmm0
   212b2:	48 8d 15 17 dc 01 00 	lea    0x1dc17(%rip),%rdx        # 3eed0 <__func__.2431+0x757>
   212b9:	0f b6 14 0a          	movzbl (%rdx,%rcx,1),%edx
   212bd:	48 8d 05 06 00 00 00 	lea    0x6(%rip),%rax        # 212ca <__intel_sse2_strtok+0x9a>
   212c4:	48 03 c2             	add    %rdx,%rax
   212c7:	3e ff e0             	ds jmpq *%rax
   212ca:	66 0f 73 d8 0f       	psrldq $0xf,%xmm0
   212cf:	eb 60                	jmp    21331 <__intel_sse2_strtok+0x101>
   212d1:	66 0f 73 d8 0e       	psrldq $0xe,%xmm0
   212d6:	eb 59                	jmp    21331 <__intel_sse2_strtok+0x101>
   212d8:	66 0f 73 d8 0d       	psrldq $0xd,%xmm0
   212dd:	eb 52                	jmp    21331 <__intel_sse2_strtok+0x101>
   212df:	66 0f 73 d8 0c       	psrldq $0xc,%xmm0
   212e4:	eb 4b                	jmp    21331 <__intel_sse2_strtok+0x101>
   212e6:	66 0f 73 d8 0b       	psrldq $0xb,%xmm0
   212eb:	eb 44                	jmp    21331 <__intel_sse2_strtok+0x101>
   212ed:	66 0f 73 d8 0a       	psrldq $0xa,%xmm0
